,age,gender,purchase_frequency,purchase_categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart_browsing,cart_completion_frequency,cart_abandonment_factors,saveforlater_frequency,review_left,review_reliability,review_helpfulness,personalized_recommendation_scale,recommendation_helpfulness,rating_accuracy ,shopping_satisfaction,service_appreciation,improvement_areas,polarity_shopping_satisfaction,age_category
363,26,Female,Few times a month,Clothing and Fashion,Sometimes,Rarely,categories,Multiple pages,4,No,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,4,No,2,2,Wide product selection,Product quality and accuracy,Negative,25-35
363,26,Female,Few times a month,Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,4,No,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,4,No,2,2,Wide product selection,Product quality and accuracy,Negative,25-35
364,34,Female,Few times a month,Groceries and Gourmet Food,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,35-45
364,34,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,35-45
364,34,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,35-45
364,34,Female,Few times a month,Home and Kitchen,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,35-45
364,34,Female,Few times a month,others,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,35-45
365,18,Female,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,1,Wide product selection,Customer service responsiveness,Negative,15-25
365,18,Female,Few times a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,1,Wide product selection,Customer service responsiveness,Negative,15-25
366,40,Male,Few times a month,Groceries and Gourmet Food,Sometimes,Few times a month,others,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,Sometimes,2,Yes,2,2,Product recommendations,Customer service responsiveness,Negative,45-55
366,40,Male,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,others,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,Sometimes,2,Yes,2,2,Product recommendations,Customer service responsiveness,Negative,45-55
366,40,Male,Few times a month,Clothing and Fashion,Sometimes,Few times a month,others,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,Sometimes,2,Yes,2,2,Product recommendations,Customer service responsiveness,Negative,45-55
367,42,Female,Few times a month,Clothing and Fashion,No,Few times a week,Keyword,First page,3,Maybe,Often,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,3,Sometimes,4,2,Product recommendations,Customer service responsiveness,Negative,45-55
367,42,Female,Few times a month,Home and Kitchen,No,Few times a week,Keyword,First page,3,Maybe,Often,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,3,Sometimes,4,2,Product recommendations,Customer service responsiveness,Negative,45-55
367,42,Female,Few times a month,others,No,Few times a week,Keyword,First page,3,Maybe,Often,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,3,Sometimes,4,2,Product recommendations,Customer service responsiveness,Negative,45-55
368,35,Prefer not to say,Once a month,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,Negative,35-45
368,35,Prefer not to say,Once a month,Beauty and Personal Care,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,Negative,35-45
368,35,Prefer not to say,Once a month,Clothing and Fashion,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,Negative,35-45
368,35,Prefer not to say,Once a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,Negative,35-45
368,35,Prefer not to say,Once a month,others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,Negative,35-45
369,37,Male,Once a month,Clothing and Fashion,No,Few times a week,Filter,First page,3,Yes,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,Negative,35-45
369,37,Male,Once a month,Home and Kitchen,No,Few times a week,Filter,First page,3,Yes,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,Negative,35-45
369,37,Male,Once a month,others,No,Few times a week,Filter,First page,3,Yes,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,Negative,35-45
370,46,Male,Less than once a month,Home and Kitchen,Sometimes,Rarely,others,First page,4,Maybe,Never,others,Rarely,No,Rarely,Sometimes,4,Sometimes,4,4,Product recommendations,Product quality and accuracy,Positive,45-55
370,46,Male,Less than once a month,others,Sometimes,Rarely,others,First page,4,Maybe,Never,others,Rarely,No,Rarely,Sometimes,4,Sometimes,4,4,Product recommendations,Product quality and accuracy,Positive,45-55
371,24,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,Keyword,Multiple pages,5,Maybe,Often,Found a better price elsewhere,Sometimes,No,Rarely,Sometimes,5,Sometimes,4,2,Competitive prices,I don't have any problem with Amazon,Negative,25-35
371,24,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,5,Maybe,Often,Found a better price elsewhere,Sometimes,No,Rarely,Sometimes,5,Sometimes,4,2,Competitive prices,I don't have any problem with Amazon,Negative,25-35
372,35,Prefer not to say,Once a month,Groceries and Gourmet Food,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,No,2,No,3,2,Competitive prices,Product quality and accuracy,Negative,35-45
372,35,Prefer not to say,Once a month,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,No,2,No,3,2,Competitive prices,Product quality and accuracy,Negative,35-45
373,46,Female,Once a month,Groceries and Gourmet Food,Sometimes,Few times a week,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,Negative,45-55
373,46,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,Negative,45-55
373,46,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,Negative,45-55
373,46,Female,Once a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,Negative,45-55
374,32,Others,Once a month,Groceries and Gourmet Food,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,2,Sometimes,2,1,Product recommendations,Customer service responsiveness,Negative,35-45
374,32,Others,Once a month,Beauty and Personal Care,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,2,Sometimes,2,1,Product recommendations,Customer service responsiveness,Negative,35-45
374,32,Others,Once a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,2,Sometimes,2,1,Product recommendations,Customer service responsiveness,Negative,35-45
374,32,Others,Once a month,Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,2,Sometimes,2,1,Product recommendations,Customer service responsiveness,Negative,35-45
374,32,Others,Once a month,others,Yes,Multiple times a day,Keyword,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,2,Sometimes,2,1,Product recommendations,Customer service responsiveness,Negative,35-45
375,35,Female,Few times a month,Beauty and Personal Care,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,High shipping costs,Often,No,Moderately,Sometimes,2,No,2,2,Product recommendations,Customer service responsiveness,Negative,35-45
375,35,Female,Few times a month,Clothing and Fashion,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,High shipping costs,Often,No,Moderately,Sometimes,2,No,2,2,Product recommendations,Customer service responsiveness,Negative,35-45
375,35,Female,Few times a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,High shipping costs,Often,No,Moderately,Sometimes,2,No,2,2,Product recommendations,Customer service responsiveness,Negative,35-45
376,36,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,2,Sometimes,2,1,Wide product selection,Reducing packaging waste,Negative,35-45
376,36,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,2,Sometimes,2,1,Wide product selection,Reducing packaging waste,Negative,35-45
376,36,Female,Few times a month,Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,2,Sometimes,2,1,Wide product selection,Reducing packaging waste,Negative,35-45
377,15,Female,Multiple times a week,Beauty and Personal Care,No,Multiple times a day,Keyword,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,No,1,Yes,2,2,Wide product selection,Product quality and accuracy,Negative,15-25
377,15,Female,Multiple times a week,Clothing and Fashion,No,Multiple times a day,Keyword,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,No,1,Yes,2,2,Wide product selection,Product quality and accuracy,Negative,15-25
377,15,Female,Multiple times a week,Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,3,No,Often,High shipping costs,Often,No,Moderately,No,1,Yes,2,2,Wide product selection,Product quality and accuracy,Negative,15-25
378,43,Prefer not to say,Less than once a month,Groceries and Gourmet Food,Sometimes,Rarely,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,1,Sometimes,3,1,Competitive prices,No problems with Amazon,Negative,45-55
378,43,Prefer not to say,Less than once a month,Home and Kitchen,Sometimes,Rarely,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,1,Sometimes,3,1,Competitive prices,No problems with Amazon,Negative,45-55
378,43,Prefer not to say,Less than once a month,others,Sometimes,Rarely,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,1,Sometimes,3,1,Competitive prices,No problems with Amazon,Negative,45-55
379,20,Prefer not to say,Multiple times a week,Beauty and Personal Care,Sometimes,Multiple times a day,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,Yes,Moderately,No,4,No,2,2,Product recommendations,Product quality and accuracy,Negative,25-35
379,20,Prefer not to say,Multiple times a week,Clothing and Fashion,Sometimes,Multiple times a day,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,Yes,Moderately,No,4,No,2,2,Product recommendations,Product quality and accuracy,Negative,25-35
379,20,Prefer not to say,Multiple times a week,Home and Kitchen,Sometimes,Multiple times a day,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,Yes,Moderately,No,4,No,2,2,Product recommendations,Product quality and accuracy,Negative,25-35
379,20,Prefer not to say,Multiple times a week,others,Sometimes,Multiple times a day,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,Yes,Moderately,No,4,No,2,2,Product recommendations,Product quality and accuracy,Negative,25-35
380,34,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Multiple times a day,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,Sometimes,2,No,1,1,User-friendly website/app interface,Product quality and accuracy,Negative,35-45
380,34,Female,Multiple times a week,Clothing and Fashion,Sometimes,Multiple times a day,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,Sometimes,2,No,1,1,User-friendly website/app interface,Product quality and accuracy,Negative,35-45
380,34,Female,Multiple times a week,Home and Kitchen,Sometimes,Multiple times a day,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,Sometimes,2,No,1,1,User-friendly website/app interface,Product quality and accuracy,Negative,35-45
381,34,Male,Less than once a month,Groceries and Gourmet Food,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Occasionally,Sometimes,1,Sometimes,3,1,Competitive prices,Customer service responsiveness,Negative,35-45
381,34,Male,Less than once a month,Beauty and Personal Care,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Occasionally,Sometimes,1,Sometimes,3,1,Competitive prices,Customer service responsiveness,Negative,35-45
